Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,9,56,7,Some Random Commen with Id 0
1,0,9,33,1,Some Random Commen with Id 1
2,0,9,15,2,Some Random Commen with Id 2
3,0,9,134,0,Some Random Commen with Id 3
4,0,9,1,3,Some Random Commen with Id 4
5,0,9,176,5,Some Random Commen with Id 5
6,0,9,51,5,Some Random Commen with Id 6
7,0,9,108,2,Some Random Commen with Id 7
8,1,5,41,0,Some Random Commen with Id 8
9,1,5,21,4,Some Random Commen with Id 9
10,1,5,57,7,Some Random Commen with Id 10
11,1,5,147,3,Some Random Commen with Id 11
12,1,5,73,5,Some Random Commen with Id 12
13,1,5,147,8,Some Random Commen with Id 13
14,1,5,116,0,Some Random Commen with Id 14
15,1,5,138,6,Some Random Commen with Id 15
16,1,5,22,2,Some Random Commen with Id 16
17,2,2,140,5,Some Random Commen with Id 17
18,2,2,18,3,Some Random Commen with Id 18
19,2,2,177,7,Some Random Commen with Id 19
20,2,2,194,2,Some Random Commen with Id 20
21,2,2,26,0,Some Random Commen with Id 21
22,2,2,46,7,Some Random Commen with Id 22
23,2,2,43,3,Some Random Commen with Id 23
24,2,2,68,0,Some Random Commen with Id 24
25,3,5,38,6,Some Random Commen with Id 25
26,3,5,122,3,Some Random Commen with Id 26
27,3,5,34,7,Some Random Commen with Id 27
28,3,5,124,5,Some Random Commen with Id 28
29,3,5,104,7,Some Random Commen with Id 29
30,3,5,157,7,Some Random Commen with Id 30
31,3,5,38,1,Some Random Commen with Id 31
32,3,5,187,7,Some Random Commen with Id 32
33,4,5,179,8,Some Random Commen with Id 33
34,4,5,19,4,Some Random Commen with Id 34
35,4,5,52,7,Some Random Commen with Id 35
36,4,5,16,1,Some Random Commen with Id 36
37,4,5,96,4,Some Random Commen with Id 37
38,5,2,41,4,Some Random Commen with Id 38
39,5,2,40,0,Some Random Commen with Id 39
40,5,2,40,4,Some Random Commen with Id 40
41,5,2,93,2,Some Random Commen with Id 41
42,5,2,64,9,Some Random Commen with Id 42
43,6,2,186,7,Some Random Commen with Id 43
44,6,2,11,1,Some Random Commen with Id 44
45,6,2,41,1,Some Random Commen with Id 45
46,7,5,173,2,Some Random Commen with Id 46
47,8,0,37,8,Some Random Commen with Id 47
48,8,0,164,7,Some Random Commen with Id 48
49,8,0,85,1,Some Random Commen with Id 49
50,8,0,134,0,Some Random Commen with Id 50
51,8,0,119,4,Some Random Commen with Id 51
52,8,0,85,6,Some Random Commen with Id 52
53,8,0,6,8,Some Random Commen with Id 53
54,9,8,102,5,Some Random Commen with Id 54
55,9,8,177,5,Some Random Commen with Id 55
56,10,4,168,0,Some Random Commen with Id 56
57,10,4,25,6,Some Random Commen with Id 57
58,10,4,163,4,Some Random Commen with Id 58
59,10,4,49,6,Some Random Commen with Id 59
60,10,4,122,4,Some Random Commen with Id 60
